rn,user_link,net_token_amount,shares_amount,avg_price,avg_price_usd,per_of_total_share,per_of_total_share_cum
150,"<a href=https://debank.com/profile/0x728989216c7400a65a6f05cbfb98097bbf51618b target=_blank"">0x728989216c7400a65a6f05cbfb98097bbf51618b</a>",3.1072607450031207,61797.64784132504,5.0281213825184584e-05,0.12640445749582277,0.0015751993665546675,0.6785886354182648
184,"<a href=https://debank.com/profile/0xe6692c46edc5356c07e7fe1c59d0dcb1931bfea8 target=_blank"">0xe6692c46edc5356c07e7fe1c59d0dcb1931bfea8</a>",2.5,61713.23986415138,4.0509945766957305e-05,0.10183997816084232,0.0015730478381903923,0.6801616832564551
132,"<a href=https://debank.com/profile/0x85c66d53166d89ce31c8f04891a25522caf4aa40 target=_blank"">0x85c66d53166d89ce31c8f04891a25522caf4aa40</a>",3.920621344417539,61078.44148785143,6.41899375444502e-05,0.1613702934898706,0.0015568670605205835,0.6817185503169757
87,"<a href=https://debank.com/profile/0x711281c1b26aaed86e40e4caaf76c1962b45e161 target=_blank"">0x711281c1b26aaed86e40e4caaf76c1962b45e161</a>",5.285581616898566,60647.69155506581,8.71522308825136e-05,0.21909635082709505,0.0015458874027994745,0.6832644377197752
160,"<a href=https://debank.com/profile/0x9c019c87bdaa2e830ba2e76a8658b7810b5da8b0 target=_blank"">0x9c019c87bdaa2e830ba2e76a8658b7810b5da8b0</a>",3,60380.53426175797,4.968488663903808e-05,0.12490532076620978,0.0015390776614276104,0.6848035153812028
161,"<a href=https://debank.com/profile/0x69bf192e71600e130e26a9f51947e5730b40463e target=_blank"">0x69bf192e71600e130e26a9f51947e5730b40463e</a>",3,60302.82629305432,4.974891202314244e-05,0.12506627738057893,0.0015370969138206378,0.6863406122950234
142,"<a href=https://debank.com/profile/0x0bd42f3be2bd3c0880f781a9cbbb90abaa623278 target=_blank"">0x0bd42f3be2bd3c0880f781a9cbbb90abaa623278</a>",3.5,59383.01335854454,5.89394138500112e-05,0.14817073944823564,0.0015136512196494154,0.6878542635146728
143,"<a href=https://debank.com/profile/0x545337fced28a4f02fa3368eec3550626d0a4b55 target=_blank"">0x545337fced28a4f02fa3368eec3550626d0a4b55</a>",3.5,58915.50544910009,5.9407111478044036e-05,0.1493465079002288,0.0015017346145917755,0.6893559981292646
134,"<a href=https://debank.com/profile/0xb764c554ff886a8e6d0413e9a013c035c8e43fa8 target=_blank"">0xb764c554ff886a8e6d0413e9a013c035c8e43fa8</a>",3.7,58272.40380753703,6.349489223441709e-05,0.15962298433271283,0.0014853421897373302,0.6908413403190019
140,"<a href=https://debank.com/profile/0xf2ecb9985c57ec5366bc73d46e31d3644363eaf1 target=_blank"">0xf2ecb9985c57ec5366bc73d46e31d3644363eaf1</a>",3.5,58250.817509711094,6.00849936469391e-05,0.15105066977872253,0.0014847919629269346,0.6923261322819289
172,"<a href=https://debank.com/profile/0x9d3b0e260c908903d3101d4c64b5b5db59ab9abb target=_blank"">0x9d3b0e260c908903d3101d4c64b5b5db59ab9abb</a>",2.9984,57898.95755461116,5.178677003246327e-05,0.13018935052311104,0.001475823181788007,0.6938019554637168
138,"<a href=https://debank.com/profile/0x959ea1f57e74d1f242da886de17e2a4219bf6e50 target=_blank"">0x959ea1f57e74d1f242da886de17e2a4219bf6e50</a>",3.5301370266859995,57738.699734909314,6.11398774633584e-05,0.15370259494900984,0.001471738268771124,0.6952736937324879
162,"<a href=https://debank.com/profile/0x10aacb2b42ae9d4f5237115dc66b9432899ff567 target=_blank"">0x10aacb2b42ae9d4f5237115dc66b9432899ff567</a>",3,57387.56017228842,5.22761377377506e-05,0.1314195964658181,0.0014627878501721357,0.6967364815826601
163,"<a href=https://debank.com/profile/0x864de5bbaf4b8c808e94a8385b95b0855d170137 target=_blank"">0x864de5bbaf4b8c808e94a8385b95b0855d170137</a>",3,57004.33469816363,5.2627576760344924e-05,0.1323030965966691,0.0014530195734629807,0.6981895011561231
192,"<a href=https://debank.com/profile/0x607096cd6b9f97faeb624b21186598fe14be6e5a target=_blank"">0x607096cd6b9f97faeb624b21186598fe14be6e5a</a>",2.4657752412674023,55671.112134991265,4.4291826527344965e-05,0.11134743729841887,0.0014190362195596444,0.6996085373756827
147,"<a href=https://debank.com/profile/0xd6fbc2be9587b36c4076fe9adecd7dc624445c46 target=_blank"">0xd6fbc2be9587b36c4076fe9adecd7dc624445c46</a>",3.333,55632.38229787967,5.99111499873165e-05,0.1506136355106143,0.0014180490102237552,0.7010265863859065
